         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
    L20G012T34-4_G012T64-5_C9S         791.292         0.359         762.442       1323.507        741.247        762.442         0.092          0.382       0.00198312   
    L20G012T34-4_G012T64-9_C9S        3441.133         0.273        1491.754       4328.641       1625.473       1491.754         0.125          0.906       0.00270792   
    L20G012T34-4_G0138T64-2_C9S        550.321         0.368         558.369        963.037        560.756        558.369         0.078          0.36        0.00168741   
    L20G012T34-4_G013T34-0_C6S         845.23          0.345         671.811       1327.799        699.375        671.811         0.062          0.468        0.0013455   
    L20G012T34-4_G014T64-4_C9S        1161.797         0.343         927.862       1810.047        944.971        927.862         0.094          0.466       0.00202417   
    L20G012T34-4_G0158T64-3_C9S        674.088         0.375         695.465       1225.615        735.369        695.465         0.086          0.352       0.00184807   
    L20G012T34-4_G0158T64-5_C9S        399.135         0.375         423.901         725.7         435.42         423.901         0.071          0.342       0.00152677   
    L20G012T34-4_G015T34-11_C6S        624.027         0.364         575.851       1069.738        612.24         575.851         0.059          0.397       0.00127444   
    L20G012T34-4_G015T34-2_C6S        1207.745         0.317         773.699       1711.312        794.269        773.699         0.066          0.593       0.00141656   
    L20G012T34-4_G0178T64-2_C9S        692.698         0.381         749.301        1304.56        802.968        749.301         0.089          0.335        0.0019284   
    L20G012T34-4_G0178T64-3_C9S        350.898         0.381         377.391        660.847        406.757        377.391         0.067          0.337       0.00144645   
    L20G012T34-4_G017T34-0_C6S        1406.499         0.303         820.734       1909.552        830.121        820.734         0.067          0.658       0.00145208   
    L20G012T34-4_G017T34-4_C6S         554.816         0.37          530.385        981.286        576.311        530.385         0.057          0.382       0.00123891   
    L20G012T34-4_G018T64-1_C9S         899.655         0.364         747.817       1542.232        882.661        747.817         0.073          0.441       0.00158746   
    L20G012T34-4_G018T64-3_C9S         593.506         0.305         527.575        810.466        355.672        527.575         0.074          0.431       0.00160044   
    L20G012T34-4_G018T64-9_C9S         1367.69         0.318         756.561       1944.264        906.563        756.561         0.092          0.686       0.00199299   
    L20G012T34-4_G028T64-1_C9S         455.598         0.401         497.794        983.797        658.602        497.794         0.064          0.327       0.00138489   
    L20G012T34-4_G048T64-1_C9S        1818.819         0.126         368.907       1887.387        272.095        368.907         0.085          2.189       0.00182606   
    L20G012T34-4_G058T64-7_C9S        1944.436          0.1          388.575       1988.628        220.959        388.575         0.088          2.275       0.00190648   
     L20G012T34-4_G12T64-0_C9S        1597.957         0.239         740.584       1880.217        590.502        740.584         0.093          0.871       0.00200438   
     L20G012T34-4_G12T64-1_C9S        1676.856         0.247         739.137       2001.123        656.411        739.137         0.093          0.91        0.00200695   
     L20G012T34-4_G12T64-2_C9S         727.59          0.344         600.319       1138.247        596.886        600.319         0.073          0.451       0.00157186   
     L20G012T34-4_G13T64-0_C9S         787.564         0.327         700.132       1154.394        560.901        700.132         0.082          0.424       0.00176455   
     L20G012T34-4_G17T64-0_C9S        1532.807         0.25          565.236       1839.368        613.123        565.236         0.082          1.085       0.00177933   
     L20G012T34-4_G17T64-1_C9S        1305.618         0.212         460.766       1473.728        396.485        460.766         0.083          1.169       0.00178578   
           L20G012T34-7S               284.707         0.394         313.693        583.811        379.573        313.693         0.031          0.326       0.00067763   
    L20G012T34-7_G0124T64-1_C9S       1273.488         0.286         616.171       1651.993        661.723        616.171         0.078          0.804       0.00168034   
    L20G012T34-7_G0125T64-4_C9S       1441.595         0.271         641.72        1805.343        671.122        641.72          0.083          0.884       0.00180067   
    L20G012T34-7_G0128T64-1_C9S       1203.353         0.326         773.911       1757.641        850.135        773.911         0.084          0.586       0.00181279   
    L20G012T34-7_G0128T64-3_C9S       1173.619         0.315         733.311       1652.305        759.819        733.311         0.083          0.609       0.00180035   
    L20G012T34-7_G012T64-10_C9S        791.137         0.36          761.139       1329.642        747.924        761.139         0.092          0.382       0.00198312   
    L20G012T34-7_G012T64-9_C9S        2912.741         0.252        1351.819       3508.468       1181.997       1351.819         0.125          0.86        0.00269029   
    L20G012T34-7_G0138T64-2_C9S        564.49          0.359         638.338        944.16         528.789        638.338         0.078          0.325       0.00168757   
    L20G012T34-7_G014T64-0_C9S        1160.327         0.344         930.589       1815.225        951.886        930.589         0.094          0.464       0.00202417   
    L20G012T34-7_G0158T64-3_C9S        662.309         0.371         801.481       1177.753        694.668        801.481         0.086          0.301       0.00184823   
    L20G012T34-7_G0158T64-5_C9S        429.675         0.363         479.83         732.88         417.638        479.83          0.071          0.328       0.00152692   
    L20G012T34-7_G0178T64-2_C9S        688.508         0.377         865.959       1266.275        766.269        865.959         0.089          0.289       0.00192856   
    L20G012T34-7_G0178T64-3_C9S        372.328         0.373         419.651        669.405        398.227        419.651         0.067          0.323        0.0014466   
    L20G012T34-7_G018T64-10_C9S       1367.451         0.318         756.346       1943.924        906.405        756.346         0.092          0.686       0.00199299   
    L20G012T34-7_G018T64-3_C9S         899.726         0.364         748.052       1542.354        882.731        748.052         0.073          0.441       0.00158746   
    L20G012T34-7_G023T34-1_C6S        1469.475         0.241         610.915       1735.012        550.906        610.915         0.062          0.969        0.0013424   
    L20G012T34-7_G025T34-1_C6S        1576.617         0.266         735.098       1953.182        707.829        735.098         0.065          0.847       0.00141346   
    L20G012T34-7_G025T34-4_C6S        1265.598         0.225         491.867        1455.79        422.649        491.867         0.059          1.05        0.00127135   
    L20G012T34-7_G027T34-0_C6S        1613.299         0.272         792.821       2024.857        756.54         792.821         0.067           0.8         0.001449    
    L20G012T34-7_G027T34-2_C6S        1117.221         0.233         435.387       1301.458        395.358        435.387         0.057          1.041       0.00123582   
    L20G012T34-7_G028T64-0_C9S         455.507         0.401         497.529         983.6         658.47         497.529         0.064          0.327       0.00138489   
    L20G012T34-7_G028T64-1_C9S         334.283         0.391         472.503        671.348        431.03         472.503         0.065          0.254        0.0013939   
    L20G012T34-7_G058T64-6_C9S         911.235         0.334         788.777       1370.284         687.2         788.777         0.076          0.433        0.0016334   
    L20G012T34-7_G068T64-3_C9S         811.299         0.332         694.237       1210.916        601.832        694.237         0.073          0.439       0.00157104   
    L20G012T34-7_G123T64-0_C9S        2246.063         0.177         685.944       2431.156        522.861        685.944         0.075          1.391       0.00161138   
    L20G012T34-7_G123T64-2_C9S        1283.239         0.255         541.082       1554.619        532.118        541.082         0.06           0.945        0.0013065   
     L20G012T34-7_G12T64-0_C9S        1674.777         0.248         738.491       2002.303        660.334        738.491         0.093          0.909       0.00200695   
     L20G012T34-7_G12T64-1_C9S        1596.069         0.238         740.729       1874.799        585.567        740.729         0.093          0.87        0.00200438   
     L20G012T34-7_G12T64-2_C9S         727.605         0.343         601.092       1133.588        591.813        601.092         0.073          0.451       0.00157186   
     L20G012T34-7_G17T64-1_C9S        1534.628         0.25          566.281       1841.554        613.851        566.281         0.082          1.084       0.00177933   
           L20G012T64-0S               784.108         0.09          74.358         798.32         78.955         74.358          0.022          4.837       0.00048276   
    L20G012T64-0_G013T34-0_C9S        1265.488         0.226         342.336       1457.901        425.692        342.336         0.053          1.508       0.00115443   
    L20G012T64-0_G013T34-1_C9S        1296.358         0.228         376.213       1498.114        442.448        376.213         0.053          1.403       0.00115443   
    L20G012T64-0_G015T34-11_C9S       1140.114         0.199         275.343       1265.217        314.33         275.343         0.05           1.727       0.00107918   
    L20G012T64-0_G015T34-15_C9S       1413.315         0.255         434.739       1712.204        586.056        434.739         0.057          1.295       0.00122971   
    L20G012T64-0_G015T34-2_C9S        1385.697         0.255         408.209       1678.745        574.604        408.209         0.057          1.352       0.00122971   
    L20G012T64-0_G015T34-6_C9S        1168.094         0.198         311.752       1294.668        319.631        311.752         0.05           1.564       0.00107914   
    L20G012T64-0_G017T34-0_C9S        1430.831         0.266         439.208       1772.576        642.378        439.208         0.059          1.287       0.00126735   
    L20G012T64-0_G017T34-1_C9S        1105.162         0.184         278.141       1205.167        271.753        278.141         0.048          1.678       0.00104149   
    L20G012T64-0_G017T34-4_C9S        1081.996         0.186         243.723       1182.512        270.206        243.723         0.048          1.872       0.00104154   
    L20G012T64-0_G017T34-5_C9S        1453.939         0.264         456.777       1793.639        643.37         456.777         0.059          1.259       0.00126735   
    L20G012T64-0_G023T34-1_C9S        1627.638         0.177         178.495       1761.768        378.898        178.495         0.053          3.874        0.0011513   
    L20G012T64-0_G023T34-2_C9S        1651.298         0.18          259.87        1792.988        393.583        259.87          0.053          2.693       0.00115123   
    L20G012T64-0_G025T34-1_C9S        1702.748         0.197         228.598       1884.947        462.434        228.598         0.057          3.111       0.00122655   
    L20G012T64-0_G025T34-2_C9S         1501.89         0.142         207.694       1575.964        260.824        207.694         0.05           3.166       0.00107595   
    L20G012T64-0_G025T34-4_C9S         1481.27         0.141         123.866       1553.164        254.943        123.866         0.05           5.24        0.00107603   
    L20G012T64-0_G025T34-5_C9S        1728.769         0.204         299.493       1930.642        494.788        299.493         0.057          2.397       0.00122652   
    L20G012T64-0_G027T34-0_C9S        1714.354          0.2          241.872       1904.838        476.209        241.872         0.059          2.953       0.00126419   
    L20G012T64-0_G027T34-1_C9S         1409.11         0.123         181.136       1459.464        204.691        181.136         0.048          3.464       0.00103831   
    L20G012T64-0_G027T34-2_C9S        1389.036         0.125         104.247       1440.482        205.783        104.247         0.048          5.922       0.00103839   
    L20G012T64-0_G027T34-3_C9S        1734.707         0.206         307.426       1942.325        503.928        307.426         0.059          2.339       0.00126417   
     L20G012T64-0_G18T34-1_C9S        1110.104         0.198         272.226       1230.394        303.763        272.226         0.055          1.702       0.00117759   
          L20G012T64-10S               483.872         0.327         400.831        709.249        344.613        400.831         0.063          0.455        0.001369    
    L20G012T64-10_G013T34-1_C9S       1313.728         0.289         805.691       1717.156        697.972        805.691         0.093          0.632       0.00200367   
   L20G012T64-10_G015T34-15_C9S        1421.97         0.304         854.152       1936.137        845.669        854.152         0.096          0.638        0.0020788   
    L20G012T64-10_G017T34-5_C9S       1455.357         0.313         874.288       2036.057        927.636        874.288         0.098          0.634        0.0021164   
    L20G012T64-10_G023T34-2_C9S       1861.143         0.22          579.097       2124.841        599.314        579.097         0.092          1.317       0.00198344   
    L20G012T64-10_G025T34-5_C9S       1911.034         0.231         614.286       2218.985        666.561        614.286         0.095          1.264       0.00205853   
    L20G012T64-10_G027T34-3_C9S       1921.684         0.233         625.313       2238.582        680.039        625.313         0.097          1.246       0.00209611   
           L20G012T64-1S              2360.171         0.213         972.31        2667.752        722.022        972.31          0.096          1.001       0.00207655   
    L20G012T64-1_G012T34-4_C9S        2913.127         0.252        1352.815       3508.932       1182.154       1352.815         0.125          0.86        0.00269024   
    L20G012T64-1_G012T34-7_C9S        3439.282         0.273        1491.133       4326.313       1624.599       1491.133         0.125          0.906       0.00270794   
    L20G012T64-1_G013T34-0_C9S        3696.669         0.207        1368.484       4144.564       1081.872       1368.484         0.126          1.119       0.00271113   
    L20G012T64-1_G015T34-2_C9S        3846.478         0.229        1442.573       4452.116       1322.353       1442.573         0.129          1.085       0.00278626   
    L20G012T64-1_G017T34-0_C9S        3896.813         0.238        1475.235       4577.334       1429.666       1475.235         0.131          1.067       0.00282386   
    L20G012T64-1_G023T34-1_C9S        3498.799         0.255        1161.878       4238.727       1450.839       1161.878         0.123           1.2        0.00266465   
    L20G012T64-1_G025T34-1_C9S        3540.789         0.256        1183.784       4297.971       1478.872       1183.784         0.127          1.191       0.00273974   
    L20G012T64-1_G027T34-0_C9S        3550.684         0.257        1192.298       4318.464       1493.735       1192.298         0.129          1.185       0.00277732   
           L20G012T64-2S               778.423         0.088         73.528         791.871        76.409         73.528          0.022          4.865       0.00047954   
    L20G012T64-2_G013T34-0_C9S        1316.926         0.238         444.357       1546.908        483.155        444.357         0.053          1.197       0.00115121   
    L20G012T64-2_G015T34-11_C9S       1189.457         0.214         389.664       1346.346        366.562        389.664         0.05           1.257       0.00107596   
    L20G012T64-2_G015T34-2_C9S        1447.274         0.254          476.4        1749.955        595.829         476.4          0.057          1.211       0.00122641   
    L20G012T64-2_G017T34-0_C9S        1501.917         0.257         489.813       1826.683        631.841        489.813         0.059          1.22        0.00126397   
    L20G012T64-2_G017T34-4_C9S        1132.595         0.201         354.545       1260.019        316.976        354.545         0.048          1.33        0.00103833   
    L20G012T64-2_G023T34-2_C9S        1585.783         0.162         176.38        1691.745        327.044        176.38          0.053          3.869       0.00113907   
    L20G012T64-2_G025T34-2_C9S        1426.284         0.115         120.681       1470.225        191.046        120.681         0.049           5.3        0.00106379   
    L20G012T64-2_G025T34-5_C9S        1667.858         0.192         230.669       1835.327        436.117        230.669         0.056          3.033       0.00121436   
    L20G012T64-2_G027T34-1_C9S        1333.615         0.096         101.946       1361.373        144.571        101.946         0.048          5.968       0.00102615   
    L20G012T64-2_G027T34-3_C9S        1677.052         0.195         243.321       1852.016        448.625        243.321         0.058          2.884       0.00125201   
           L20G012T64-5S               484.459         0.327         398.657        710.109        345.031        398.657         0.063          0.458       0.00136902   
    L20G012T64-5_G012T34-7_C9S         916.134         0.365         869.424        1578.47        907.309        869.424         0.093          0.386       0.00200041   
    L20G012T64-5_G013T34-0_C9S        1313.787         0.289         805.934       1717.233        698.003        805.934         0.093          0.632       0.00200368   
    L20G012T64-5_G015T34-2_C9S        1420.919         0.304         854.094       1934.706        845.044        854.094         0.096          0.638       0.00207882   
    L20G012T64-5_G017T34-0_C9S        1454.308         0.313         874.293        2034.59        926.967        874.293         0.098          0.633       0.00211641   
    L20G012T64-5_G023T34-1_C9S        1861.771         0.22          579.521       2125.558        599.516        579.521         0.092          1.317       0.00198344   
    L20G012T64-5_G025T34-1_C9S        1910.809         0.231         614.094       2218.724        666.483        614.094         0.095          1.264       0.00205853   
    L20G012T64-5_G027T34-0_C9S        1920.732         0.233         624.994       2237.473        679.702        624.994         0.097          1.246       0.00209611   
           L20G012T64-9S              2360.128         0.213         972.069       2667.704        722.009        972.069         0.096          1.001       0.00207654   
    L20G012T64-9_G013T34-1_C9S        3697.502         0.208         1369.57        4151.01       1090.164        1369.57         0.126          1.117       0.00271111   
    L20G012T64-9_G015T34-15_C9S       3845.985         0.229        1442.983       4451.545       1322.184       1442.983         0.129          1.084       0.00278625   
    L20G012T64-9_G017T34-5_C9S         3898.82         0.238        1475.093       4579.692       1430.402       1475.093         0.131          1.067       0.00282385   
    L20G012T64-9_G023T34-2_C9S        3498.863         0.254        1161.659       4230.611       1440.449       1161.659         0.123          1.201       0.00266465   
    L20G012T64-9_G025T34-5_C9S        3541.719         0.256         1183.62        4299.1         1479.26        1183.62         0.127          1.191       0.00273974   
    L20G012T64-9_G027T34-3_C9S        3551.121         0.256        1191.857       4310.513       1483.187       1191.857         0.129          1.186       0.00277732   
          L20G0134T64-0S               234.522         0.325         174.15         341.353        164.355        174.15          0.03           0.508       0.00065586   
          L20G0134T64-1S               160.12          0.276         112.061        202.794        77.308         112.061         0.031          0.56        0.00067168   
          L20G0134T64-2S               234.458         0.325         174.118        341.26         164.31         174.118         0.03           0.508       0.00065586   
          L20G0134T64-3S               160.318         0.276         112.331        203.045        77.404         112.331         0.031          0.559       0.00067168   
          L20G0135T64-0S               140.471         0.291         100.608        184.557        75.749         100.608         0.028          0.541       0.00060346   
          L20G0135T64-1S               141.361         0.294         101.125        187.199        77.955         101.125         0.028          0.54        0.00060344   
          L20G0137T64-0S               170.588         0.28          117.802        218.081        84.809         117.802         0.031          0.566       0.00067968   
          L20G0137T64-1S               170.207         0.28          117.69         217.594         84.62         117.69          0.031          0.565       0.00067965   
          L20G0138T64-1S               219.722         0.266         146.024        272.201        98.645         146.024         0.048          0.594       0.00103844   
          L20G0138T64-2S               219.262         0.266         145.957        271.631        98.439         145.957         0.048          0.593       0.00103844   
           L20G013T34-0S               408.577         0.346         262.976        644.549         341.0         262.976         0.032          0.577       0.00068083   
    L20G013T34-0_G0124T64-3_C9S       1636.097         0.252         781.164       1970.719        663.932        781.164         0.095          0.836       0.00206223   
    L20G013T34-0_G0128T64-1_C9S       1509.128         0.284         733.642       1948.006        772.673        733.642         0.084          0.801        0.0018161   
    L20G013T34-0_G0134T64-0_C9S        789.336         0.329         465.006       1165.288        571.356        465.006         0.06           0.639       0.00130526   
    L20G013T34-0_G0135T64-1_C9S        668.907         0.333         401.955       1002.109        500.303        401.955         0.058          0.624       0.00125955   
    L20G013T34-0_G0137T64-1_C9S        704.764         0.326         416.764       1029.392        497.896        416.764         0.062          0.638       0.00133577   
    L20G013T34-0_G0138T64-2_C9S        693.42          0.319         538.742        988.986        463.269        538.742         0.078          0.488       0.00169076   
    L20G013T34-0_G0145T64-0_C9S        650.891         0.332         408.179        971.496        482.84         408.179         0.058          0.599       0.00125588   
    L20G013T34-0_G014T64-0_C9S        1526.512         0.262         819.778       1875.384        665.787        819.778         0.094          0.738       0.00202697   
    L20G013T34-0_G014T64-2_C9S        1181.501         0.086         324.784       1200.937        112.998        324.784         0.08           1.675       0.00172422   
    L20G013T34-0_G0156T64-1_C9S        706.356         0.335         384.093       1066.228        537.122        384.093         0.058          0.689       0.00124939   
    L20G013T34-0_G0158T64-3_C9S        809.109         0.319         669.383       1153.987        540.561        669.383         0.086          0.458        0.0018603   
    L20G013T34-0_G0158T64-5_C9S        523.371         0.33          398.921        775.45         381.938        398.921         0.071          0.493       0.00153012   
    L20G013T34-0_G015T64-10_C9S       1027.924         0.131         304.575       1070.192        161.329        304.575         0.074          1.492       0.00160392   
    L20G013T34-0_G015T64-17_C9S        794.418         0.328         415.789       1168.589        570.383        415.789         0.065          0.719       0.00140576   
    L20G013T34-0_G0167T64-1_C9S        778.138         0.337         469.607       1183.644        601.641        469.607         0.065          0.62         0.001399    
    L20G013T34-0_G0167T64-4_C9S        801.942         0.325         392.765       1167.247        562.008        392.765         0.062          0.77        0.00134839   
    L20G013T34-0_G0178T64-2_C9S        828.36          0.318         710.27         1177.57        549.072        710.27          0.09           0.442       0.00194529   
    L20G013T34-0_G0178T64-3_C9S        475.37          0.335         347.933        717.56         361.478        347.933         0.067          0.512        0.0014498   
    L20G013T34-0_G017T64-6_C9S         873.072         0.32          428.086       1249.345        587.927        428.086         0.074          0.773        0.0016017   
    L20G013T34-0_G018T64-10_C9S       1647.084         0.235         661.617       1925.016        591.345        661.617         0.092          1.008       0.00199612   
    L20G013T34-0_G018T64-3_C9S        1090.328         0.284         575.562       1407.413        558.247        575.562         0.074          0.738       0.00159054   
    L20G013T34-0_G023T34-1_C6S        1478.499         0.236         579.518        1730.86        534.664        579.518         0.062          1.032       0.00134559   
    L20G013T34-0_G023T64-0_C9S        2237.359         0.263        1038.002       2754.365        982.901       1038.002         0.092          0.853       0.00198448   
    L20G013T34-0_G025T34-1_C6S        1585.704         0.25          622.677       1902.845        634.282        622.677         0.066          1.019       0.00142079   
    L20G013T34-0_G025T34-4_C6S        1244.888         0.227         437.745       1436.391        421.812        437.745         0.059          1.159       0.00127454   
    L20G013T34-0_G025T64-3_C9S         835.192         0.322         640.753       1203.191        571.427        640.753         0.065          0.493       0.00139663   
    L20G013T34-0_G027T34-0_C6S        1596.535         0.251         632.465       1919.436        643.229        632.465         0.068          1.009       0.00145844   
    L20G013T34-0_G027T34-2_C6S        1123.421         0.228         373.453       1298.263        383.425        373.453         0.057          1.225       0.00123901   
    L20G013T34-0_G028T64-0_C9S         876.54          0.346         507.588       1382.782        731.564        507.588         0.065          0.641       0.00140332   
    L20G013T34-0_G028T64-1_C9S         489.17          0.338         437.478        746.993        381.395        437.478         0.065          0.418       0.00139708   
    L20G013T34-0_G046T64-0_C9S        1354.097         0.182         375.69        1473.427        327.828        375.69          0.072          1.525       0.00154995   
    L20G013T34-0_G048T64-0_C9S         1792.89         0.129         373.713        1864.12        276.087        373.713         0.085          2.125       0.00182904   
    L20G013T34-0_G058T64-2_C9S        1928.132         0.102         390.447        1973.87        224.203        390.447         0.088          2.241       0.00190946   
    L20G013T34-0_G058T64-6_C9S         965.241         0.318         727.263       1372.156        639.803        727.263         0.075          0.503       0.00161499   
    L20G013T34-0_G067T64-0_C9S        1620.123         0.261         709.202       1986.321        701.529        709.202         0.086          0.906       0.00186087   
    L20G013T34-0_G068T64-0_C9S        2298.648         0.213         545.253       2598.212        703.201        545.253         0.094          1.738        0.0020347   
    L20G013T34-0_G068T64-3_C9S         846.824         0.325         625.96        1232.574        593.462        625.96          0.072          0.511       0.00155264   
    L20G013T34-0_G123T64-0_C9S        2143.125         0.182         649.082       2331.987        518.853        649.082         0.075          1.397       0.00161445   
    L20G013T34-0_G123T64-1_C9S        2468.637         0.221         736.441       2822.571        800.755        736.441         0.075          1.373       0.00161282   
    L20G013T34-0_G123T64-2_C9S        1112.244         0.278         527.635       1415.218        544.918        527.635         0.061          0.825       0.00130957   
     L20G013T34-0_G12T64-0_C9S        1590.537         0.222         602.974       1821.283        519.698        602.974         0.092          1.079       0.00199451   
     L20G013T34-0_G12T64-1_C9S        1818.077         0.233         640.404        2117.89        643.375        640.404         0.093          1.151       0.00200135   
     L20G013T34-0_G12T64-2_C9S        1105.998         0.263         532.362       1361.571        485.879        532.362         0.073          0.822       0.00156901   
     L20G013T34-0_G17T64-1_C9S        1298.404         0.209         357.375       1459.611        385.662        357.375         0.082          1.503       0.00176678   
           L20G013T34-1S               408.381         0.346         263.369        644.24         340.836        263.369         0.032          0.576       0.00068083   
    L20G013T34-1_G0128T64-2_C9S        898.769         0.328         577.477       1322.089        645.306        577.477         0.078          0.586        0.0016939   
    L20G013T34-1_G0128T64-3_C9S       1509.772         0.284         733.557       1948.837        773.003        733.557         0.084          0.801        0.0018161   
    L20G013T34-1_G023T64-3_C9S        2244.563         0.265        1039.581       2774.794       1000.436       1039.581         0.092          0.853       0.00198448   
    L20G013T34-1_G025T64-0_C9S         834.998         0.323         640.398        1207.01        575.871        640.398         0.065          0.493       0.00139663   
    L20G013T34-1_G046T64-1_C9S        1350.229         0.181         373.175       1467.644        324.351        373.175         0.072          1.532       0.00154995   
    L20G013T34-1_G048T64-1_C9S        1790.488         0.129         372.322       1861.623        275.717        372.322         0.085          2.13        0.00182904   
    L20G013T34-1_G058T64-7_C9S        1924.602         0.101         389.68        1969.293        221.244        389.68          0.088          2.243       0.00190946   
    L20G013T34-1_G067T64-1_C9S        1627.787         0.26          709.225       1991.671        699.776        709.225         0.086          0.911       0.00186087   
    L20G013T34-1_G068T64-2_C9S        2300.415         0.213         546.166       2600.209        703.741        546.166         0.094          1.736       0.00203471   
    L20G013T34-1_G123T64-0_C9S        2468.576         0.221         734.669       2822.501        800.735        734.669         0.075          1.376       0.00161282   
     L20G013T34-1_G12T64-0_C9S        1820.157         0.233         641.285       2120.313        644.111        641.285         0.093          1.151       0.00200135   
     L20G013T34-1_G12T64-1_C9S        1601.513         0.221         603.734       1831.125        519.485        603.734         0.092          1.086       0.00199451   
     L20G013T34-1_G12T64-2_C9S        1107.199         0.263         532.526       1363.049        486.407        532.526         0.073          0.823       0.00156883   
          L20G0145T64-0S               205.386         0.259         62.727         250.794        87.659         62.727          0.028           1.3        0.00059462   
          L20G0145T64-1S               204.77          0.261         62.919         251.054        88.667         62.919          0.028          1.29        0.00059464   
           L20G014T64-0S               494.148         0.35          454.535        793.077        427.041        454.535         0.066          0.403       0.00141779   
    L20G014T64-0_G015T34-2_C9S        1621.579         0.282         889.617       2082.994        818.112        889.617         0.097          0.711       0.00210203   
    L20G014T64-0_G017T34-0_C9S        1663.597         0.292         928.63         2191.42        903.806        928.63          0.099          0.693       0.00213965   
           L20G014T64-2S               108.517         -0.86         51.756         530.046       -245.075        51.756          0.05           7.488       0.00107037   
    L20G014T64-2_G015T34-11_C9S       1001.773        -0.005         258.247       1001.823        -4.984         258.247         0.076          1.949       0.00164919   
    L20G014T64-2_G015T34-2_C9S        1340.752         0.154          388.0        1420.388        258.558         388.0          0.083          1.497       0.00179951   
    L20G014T64-2_G017T34-0_C9S        1398.416         0.177         419.173       1513.656        325.537        419.173         0.085          1.417       0.00183715   
    L20G014T64-2_G017T34-4_C9S         912.614        -0.058         227.14         918.455        -50.35         227.14          0.075          2.133       0.00161163   
    L20G014T64-2_G025T34-2_C9S        1313.244        -0.053         193.489       1320.288        -66.453        193.489         0.076          3.584       0.00164575   
    L20G014T64-2_G025T34-4_C9S        1822.598         0.173         344.918        1964.81        411.018        344.918         0.077          2.252       0.00165542   
    L20G014T64-2_G025T34-5_C9S        1641.801         0.091         285.614        1672.27        167.411        285.614         0.083          2.634       0.00179632   
    L20G014T64-2_G027T34-1_C9S        1176.802        -0.114         163.688       1204.915       -123.304        163.688         0.074          4.057       0.00160811   
    L20G014T64-2_G027T34-2_C9S        1708.322         0.147         290.969       1799.495        310.112        290.969         0.075          2.559       0.00161893   
    L20G014T64-2_G027T34-3_C9S         1651.61         0.096         292.751       1685.986        179.043        292.751         0.085          2.574       0.00183397   
           L20G014T64-3S               108.412        -0.861         51.652         533.238       -246.705        51.652          0.05           7.55        0.00107037   
